"","VCAN","gly_colmean"
"TCGA.KO.8410.01A",14.5677876186689,-0.167514600723205
"TCGA.KN.8423.11A",18.2380284097416,0.911051525283912
"TCGA.KL.8339.01A",13.8047442633887,-0.66269436036771
"TCGA.KL.8325.01A",12.4328018167943,-0.215637262158248
"TCGA.KL.8330.01A",12.639445925648,-0.502973769927672
"TCGA.KL.8343.01A",14.3487426246995,-0.358796039220356
"TCGA.KL.8326.11A",15.5411045529039,0.834642622108034
"TCGA.KN.8425.11A",14.5509473368734,0.425213368214465
"TCGA.KL.8340.01A",13.6981632568023,-0.192585018994273
"TCGA.KL.8336.01A",13.9365059735162,-0.468362063699642
"TCGA.KN.8431.11A",14.6833250485232,0.733965645163482
"TCGA.KO.8403.11A",16.0954293364671,0.568050472969969
"TCGA.KM.8440.01A",12.5774638431437,-0.51678261295041
"TCGA.KN.8427.11A",16.1040412322424,0.676653472180804
"TCGA.KL.8333.01A",17.2986372623899,-0.00458487220431804
"TCGA.KN.8434.11A",14.5193139497658,0.775430377480332
"TCGA.KO.8407.01A",14.0933912630501,-0.230927868001916
"TCGA.KO.8408.01A",16.6373731248446,-0.196240511794857
"TCGA.KL.8339.11A",15.2700758766115,0.97566812785407
"TCGA.KN.8426.01A",14.2148823050151,-0.296763686161553
"TCGA.KL.8341.01A",13.4131256390022,-0.382206503085205
"TCGA.KM.8476.01A",12.7696267109353,-0.350234010487836
"TCGA.KN.8433.11A",15.3305535616058,0.803113482135889
"TCGA.KL.8328.01A",12.5571703256775,-0.224546854301642
"TCGA.KO.8413.01A",14.8912458911545,0.0445939942100233
"TCGA.KO.8405.01A",17.6275870899246,0.332796154182269
"TCGA.KO.8404.01A",18.9290308395104,-0.0373040125689944
"TCGA.KO.8416.01A",14.534456199435,-0.228005543962588
"TCGA.KL.8344.01A",17.5172379025345,-0.201439648732489
"TCGA.KL.8335.01A",18.0982908655913,-0.407506000620117
"TCGA.KO.8411.01A",11.192284437709,-0.479868801999265
"TCGA.KL.8345.01A",13.0974426732403,-0.478820509792266
"TCGA.KL.8324.01A",13.144513177448,-0.294555507138358
"TCGA.KL.8329.11A",16.2075048086637,0.919582771431386
"TCGA.KO.8415.01A",14.1605548593582,-0.0763961875619181
"TCGA.KL.8337.01A",13.0905074380609,-0.486805701152867
"TCGA.KM.8439.01A",14.1678074588761,-0.270980777907945
"TCGA.KN.8419.01A",14.7075103400658,-0.26091737943337
