"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation",133,0.360897171536798,1.79936851498385,0.00100401606425703,0.0406787082649152,0.0379915305505142,1088,"tags=46%, list=31%, signal=33%","28434/2302/28410/28458/79679/28392/28423/28395/28448/4004/11148/8456/28467/28394/28388/3503/6422/28444/970/28468/1493/3539/3569/5063/28442/6469/6363/28439/9760/1803/28409/3501/51083/3494/1840/8876/959/7412/6347/2255/3952/3500/3514/100423062/1960/3481/3495/29851/3538/3502/28408/6375/8600/3507/51237/3624/2267/3493/3485/5588/27240"
"GO:0002250","BP","GO:0002250","adaptive immune response",165,0.420651265070053,2.14007133771495,0.00100502512562814,0.0406787082649152,0.0379915305505142,1118,"tags=52%, list=31%, signal=38%","28816/28943/28434/2302/28784/28809/28410/28935/28458/28938/79679/28392/28822/28803/28937/9173/28423/28395/28680/28913/83953/28448/154064/28817/28568/28589/28815/28467/28394/28388/3503/28444/28813/28793/28797/970/28468/1493/3539/3569/28652/28442/28823/28908/28941/6363/28439/28796/28912/50852/28825/716/338339/28614/28299/28775/28409/3501/715/3494/608/959/722/3500/28567/3514/100423062/6504/3495/3538/720/3502/28408/911/6375/6976/3507/5579/2267/721/28666/3493/5588/27240/10462/3598"
"GO:0050900","BP","GO:0050900","leukocyte migration",165,0.339360349286235,1.72650225250947,0.00100502512562814,0.0406787082649152,0.0379915305505142,983,"tags=39%, list=28%, signal=30%","7369/28816/6356/28434/2302/9547/28809/28938/6288/28392/6372/28822/2919/28937/26585/28395/28913/83953/1907/28817/2921/28815/10344/28394/6368/28813/7499/28793/28797/6364/3539/3569/6374/28442/28823/28908/6363/28439/28796/28912/28825/2920/6357/28299/3576/11136/5054/3494/6361/11240/7412/6347/3952/6387/3514/1621/124976/3538/2529/7057/11223/6360/6375/8600/3507"
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation",155,0.34454691750267,1.74452355014909,0.00100603621730382,0.0406787082649152,0.0379915305505142,1088,"tags=45%, list=31%, signal=32%","28434/2302/28410/28458/79679/28392/9173/28423/28395/28448/4004/11148/8456/28467/28394/28388/3503/6422/28444/671/970/28468/133396/1493/3539/3569/5063/28442/6469/6363/28439/338339/9760/1803/28409/3501/51083/3494/1840/8876/959/7412/6347/2255/3952/3500/3514/100423062/1960/3481/3495/29851/3538/3502/7057/28408/6375/8600/3507/51237/9258/85480/3624/2267/3493/3485/120892/5588/27240"
"GO:0002757","BP","GO:0002757","immune response-activating signal transduction",144,0.378703286652153,1.90352195912622,0.00100704934541793,0.0406787082649152,0.0379915305505142,474,"tags=30%, list=13%, signal=27%","28816/28434/28809/28410/143662/28458/28938/79679/28392/28822/56667/28937/28423/28395/640/28913/28448/28817/28589/11148/28815/9971/28467/28394/28388/3503/28444/28813/28793/28797/28468/1493/3539/5063/28442/28823/28908/28439/28796/28912/50852/28825/338339"
"GO:0048018","MF","GO:0048018","receptor ligand activity",143,0.337981693882486,1.69811067668287,0.00100704934541793,0.0406787082649152,0.0379915305505142,1147,"tags=48%, list=32%, signal=34%","6356/9547/2045/7477/6288/6372/2919/5368/26585/4969/64388/1907/2921/10344/80326/6368/970/3589/6364/3640/10637/7484/3569/6374/6997/2069/6469/6363/2668/7476/7044/2920/6357/7039/3576/23767/51083/3976/6361/959/9573/9723/8200/6347/2255/3952/27329/7066/6387/3481/7480/3626/151449/6289/6360/2662/6375/8600/85480/3624/4880/183/335/116173/56477/2202/223117/1906"
"GO:0050867","BP","GO:0050867","positive regulation of cell activation",116,0.389871095895322,1.92858646007051,0.00100704934541793,0.0406787082649152,0.0379915305505142,1087,"tags=48%, list=30%, signal=35%","28434/28410/28458/79679/28392/9173/28423/28395/28448/11148/28467/28394/28388/3503/28444/970/28468/1493/3539/3569/5063/28442/6469/6363/28439/338339/9760/1803/28409/3501/3494/8876/959/7412/6347/2255/3952/3500/3514/100423062/1960/3481/3495/29851/3538/3502/7057/28408/6375/8600/3507/85480/3493/3485/120892/5588"
"GO:0045177","CC","GO:0045177","apical part of cell",129,0.343959619961926,1.71018349854773,0.00100806451612903,0.0406787082649152,0.0379915305505142,720,"tags=33%, list=20%, signal=28%","7369/359/6568/6557/116085/10786/55867/340024/56667/10568/79849/9390/1800/6569/6340/5593/1579/5314/2168/91703/1000/8842/6997/6514/6550/4036/6559/5243/6338/159963/1803/8029/4257/53841/11136/150084/5174/10083/64240/55966/7412/57282/2191"
"GO:0002768","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway",118,0.440869245082328,2.17687891244354,0.00101010101010101,0.0406787082649152,0.0379915305505142,486,"tags=36%, list=14%, signal=33%","28816/28434/28809/28410/143662/28458/28938/79679/28392/28822/56667/28937/28423/28395/640/28913/28448/28817/28589/11148/28815/28467/28394/28388/3503/28444/28813/28793/28797/28468/1493/3539/5063/28442/28823/28908/28439/28796/28912/50852/28825/338339/2206"
"GO:0051604","BP","GO:0051604","protein maturation",106,0.417159448434524,2.03597290712083,0.00101112234580384,0.0406787082649152,0.0379915305505142,980,"tags=52%, list=27%, signal=39%","28816/28434/28809/28938/28392/28822/28937/5653/28395/28913/1215/28817/28815/28394/3503/28813/28793/28797/10418/1066/3539/1511/28442/28823/28908/6469/28439/28796/629/2160/28912/28825/716/6900/28299/2678/3501/715/5054/1311/5328/59272/7850/56265/722/3500/165/3514/3538/720/2161/3502/7057/5270/5345"
"GO:0002429","BP","GO:0002429","immune response-activating cell surface receptor signaling pathway",111,0.457428267896677,2.2467930457544,0.00101214574898785,0.0406787082649152,0.0379915305505142,474,"tags=38%, list=13%, signal=34%","28816/28434/28809/28410/143662/28458/28938/79679/28392/28822/56667/28937/28423/28395/640/28913/28448/28817/28589/11148/28815/28467/28394/28388/3503/28444/28813/28793/28797/28468/1493/3539/5063/28442/28823/28908/28439/28796/28912/50852/28825/338339"
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity",110,0.443483917223952,2.17428885738593,0.00101214574898785,0.0406787082649152,0.0379915305505142,983,"tags=51%, list=28%, signal=38%","28816/28434/2302/28809/28410/28458/28938/28392/28822/28937/28423/28395/28913/28448/154064/28817/28815/28467/28394/28388/3503/28444/28813/28793/28797/970/28468/3539/3569/28442/28823/28908/28439/28796/28912/28825/716/28299/28409/3501/715/3494/959/3952/722/3500/3514/100423062/3495/3538/720/3502/28408/911/6375/3507"
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",112,0.440353545491538,2.16651198009797,0.00101214574898785,0.0406787082649152,0.0379915305505142,983,"tags=51%, list=28%, signal=38%","28816/28434/2302/28809/28410/28458/28938/28392/28822/28937/9173/28423/28395/28913/28448/154064/28817/28815/28467/28394/28388/3503/28444/28813/28793/28797/970/28468/3539/3569/28442/28823/28908/6363/28439/28796/28912/28825/716/28299/28409/3501/715/3494/959/722/3500/3514/100423062/3495/3538/720/3502/28408/911/6375/3507"
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation",111,0.407729635591443,2.00268364263346,0.00101214574898785,0.0406787082649152,0.0379915305505142,1087,"tags=50%, list=30%, signal=36%","28434/28410/28458/79679/28392/9173/28423/28395/28448/11148/28467/28394/28388/3503/28444/970/28468/1493/3539/3569/5063/28442/6469/6363/28439/338339/9760/1803/28409/3501/3494/8876/959/7412/6347/2255/3952/3500/3514/100423062/1960/3481/3495/29851/3538/3502/7057/28408/6375/8600/3507/85480/3493/3485/120892/5588"
"GO:0006959","BP","GO:0006959","humoral immune response",111,0.498691046767133,2.44946728152241,0.00101214574898785,0.0406787082649152,0.0379915305505142,876,"tags=57%, list=25%, signal=44%","28816/3273/28434/2302/28809/28410/28458/28938/28392/6372/28822/2919/28937/28423/28395/28913/28448/28817/2921/28815/28467/28394/28388/3503/28444/28813/28793/6590/28797/671/28468/3539/3569/6374/1511/28442/28823/28908/28439/28796/629/28912/28825/716/2920/6357/28299/3576/28409/3501/715/3494/6347/5450/722/3500/3514/100423062/3495/124976/3538/51435/720"
"GO:0016485","BP","GO:0016485","protein processing",101,0.434358002746628,2.1015837686823,0.00101522842639594,0.0406787082649152,0.0379915305505142,980,"tags=54%, list=27%, signal=41%","28816/28434/28809/28938/28392/28822/28937/5653/28395/28913/1215/28817/28815/28394/3503/28813/28793/28797/10418/1066/3539/1511/28442/28823/28908/6469/28439/28796/629/2160/28912/28825/716/6900/28299/2678/3501/715/5054/1311/5328/59272/7850/56265/722/3500/165/3514/3538/720/2161/3502/7057/5270/5345"
