"","BLCA","BRCA","CHOL","COAD","ESCA","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","READ","STAD","THCA","UCEC"
"B3GNT3",2.00186112284146,-1.62855393349697,4.28199547302911,-0.210215198431005,-1.10060857154154,-0.521202191512508,-8.43492298611673,-0.835376245323552,0.716077777253062,0.00527762216915661,4.22934623704554,2.33450941395871,-1.80316704647654,-0.0670779589074861,0.762441263111572,4.89261067300479,4.0317123227461
"CHST6",0.869774302154978,1.60480204848454,4.29277486824069,-1.1915531259318,1.39591005180829,-0.663655488499982,-3.76708051351721,-2.68309682583314,-1.60529841715779,3.29580558883354,1.09520452909381,0.991980555341184,-1.40227560170376,-1.2810079917162,0.044656121178015,1.76252182835483,3.01440434134931
"CLDN3",1.82124132832043,2.19476910362558,0.614616215592346,-0.321107207111904,2.00092985483026,-2.24708082765295,-3.49619678049046,-0.984893618833677,1.71941711003333,-0.585520055849646,1.49770458570399,-1.77756123963774,1.30275144890449,0.435803055662657,3.48499930971039,0.161969673806638,3.51932871569491
"CLDN9",3.53013273140776,1.58577498584619,1.5349103266642,1.47769145903839,1.21697132482697,0.325423757279546,-2.16272056306885,-1.42598271610604,-0.590196911245096,-0.303154516775201,1.08943888612986,-1.39375988066294,-0.45938969977675,2.70665019926748,2.01356299830501,2.95802735530917,3.51719452441784
"DCN",-3.47163757064623,-2.29167369093532,-1.7193890209671,-2.12011996156646,-0.764590078037656,-0.566125981740448,-5.88931558744135,-3.99498214530295,-4.16077531795299,-4.11088824912645,-1.72676718162759,-2.06002020553278,-1.05691214939328,-2.68213464768513,-1.69582772425865,-3.13673709859389,-4.32603724943219
"HS6ST2",1.22694383115414,-0.736081229756303,2.46790897311107,2.35408171496209,1.54652351630451,-0.403380854732013,-9.52298824162803,-8.17940785719447,-7.21527022213168,-0.858514360173407,3.49008785097384,2.63535765333489,-0.482075722873324,1.19529227868916,-1.3980386910098,1.79601037774005,-1.35900605980095
"LHX9",3.535972709873,NA,-1.64244782040904,NA,2.96634688727772,3.38730102886277,7.01638695585146,NA,-0.579501751638576,-0.955950936593045,-2.14806452264939,-3.26909554853198,NA,NA,2.90131308320357,NA,1.25869718832429
"MIOX",6.30936166271057,2.94161878233116,2.35788047344771,3.43485352002336,0.0555663017890513,3.69618487390668,-7.21055537891489,-1.52200450671008,-2.36244871783281,3.77425784253311,6.31849147504425,4.52346870248944,1.9125090402588,2.97652449835467,2.30313692625983,-2.52086622143038,5.43974835303009
"NDST3",0.520591957073853,0.33941653720505,-5.40467745225072,-0.788009307274301,-2.86613650304552,-1.40222825729376,-4.75830794230662,-4.49989318898579,-5.34686122905792,NA,-0.774512776959412,-0.714020184148792,-0.524144277906002,-0.302910357731109,-0.928392232449308,-1.05755230676923,-2.51548494856322
"TGFA",1.39108977810024,-1.0203768615673,1.90383104369122,-0.952459862788899,1.25284859195234,0.5081253502088,-4.42822236228853,1.32043214726796,0.226848221058106,-2.05344627909227,0.816508771939112,1.42972337148471,-0.704836356616948,-0.772736139282653,0.340382813717127,2.28915827328721,1.94166305396933
